parameter,value,error,source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,m_b_corr,m_b_corr_err,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta,distance_mpc,velocity,h0_derived,rho_local,shear_suppression,pgc_int,tully_nest,tully_nmb,tully_logpK,tully_mvir_tmsun,tully_mlum_tmsun,tully_is_group,tully_is_cluster,effective_coupling,mu_corrected,dist_corrected,h0_corrected
mu_N3370,32.14249679432585,0.0456347313322023,N3370,NGC 3370,161.76697273869,17.27369871105,32207,10.196,0.00588,0.00084,0.0054,1e-05,0.00427,1e-05,-144.588,250.0,12.9292,0.338568,1994ae,31.314751246021032,85.0,80.45305219029427,94.86833190917967,47.43416595458984,80.45305219029427,-4.546947809705728,26.822506478861083,1762.77965304,65.72016878546579,0.0360516177152825,0.9357840312324516,32207,112647.0,1.0,9.77,,0.399,False,False,981338.1052504095,32.13021246222532,26.67119609327413,66.09301085992664
mu_N3447,31.944288930942335,0.0333315910022108,N3447,NGC 3447,163.34986296531,16.77242823926,32694,9.53,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,-0.2973,250.0,12.78,0.419535,2012ht,22.03175875380119,55.0,51.72330736696996,111.46057891845705,55.73028945922851,51.72330736696996,-3.276692633030038,24.48261404350778,1394.0349296999998,56.93979111963599,0.006307385640719,0.9404993929203972,32694,,,,,,False,False,986283.0112863936,31.890270568589717,23.881088261748793,58.37401187168158
mu_N3583,32.7899012784913,0.0634223058066292,N3583,NGC 3583,168.5457458333333,48.318377777777776,34232,10.95,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,-249.339,250.0,13.4997,0.266214,ASASSN-15so,1.3098966680831907,108.0,102.6945397409901,84.55149841308594,42.27574920654297,102.6945397409901,-5.305460259009905,36.139343226006055,2569.2213650599997,71.09208789414787,0.1181631158042258,0.8908926255857782,34232,102455.0,2.0,9.66,,4.24,True,False,934261.3808257426,32.82055026497095,36.65304440348859,70.09571529112775
mu_N4038,31.633833407662937,0.0800615212766845,N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967,10.682,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,265.999,250.0,12.4269,0.374942,2007sr,378.7708452742237,107.0,99.24471174407964,157.4422607421875,78.72113037109375,99.24471174407964,-7.755288255920362,21.221040857874737,1711.8149351799998,80.66592711661346,0.048766617164011,0.9317852338736042,37967,,,,,,False,False,977144.6459772871,31.658315024292722,21.461644900712603,79.76159064691083
mu_N4639,31.78738500726915,0.0713565283748475,N4639,NGC 4639,190.71824375014,13.257418376,42741,9.802,0.00359,0.00084,0.00462,2e-05,0.00355,2e-05,308.577,250.0,12.4439,0.550332,1990N,62.30683330267207,96.2,96.40480287112231,22.757328033447266,11.378664016723633,96.40480287112231,0.2048028711223111,22.77597625954237,1076.2549242199998,47.2539535498104,1.7218361181455284,0.0731517184036303,42741,150002.0,2.0,11.2,,0.777,True,False,76712.75244939297,31.78883273480877,22.791166138128503,47.22245968886507
mu_N4680,32.5468099373571,0.1470442585163361,N4680,NGC 4680,191.7281208333333,-11.637038888888888,43118,9.75,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,201.132,250.0,13.1668,0.42436,1997bp,24.446560387977243,103.0,100.59139374396904,43.363189697265625,21.681594848632812,100.59139374396904,-2.40860625603095,32.31186215802722,2590.20683712,80.16272242225186,0.0773280401395368,0.9186757090408294,43118,112009.0,1.0,9.69,,1.01,False,False,963396.947971386,32.57383183059441,32.716464541752764,79.17135526103002
mu_N5468,33.18726848481219,0.0485085615123016,N5468,NGC 5468,211.6453774379183,-5.4529774527145,50323,10.441,0.00954,0.00086,0.00998,0.00019,0.00907,0.00019,129.581,250.0,13.7869,0.267622,1999cp,59.292776401821115,68.0,64.83843341735236,78.90803527832031,39.45401763916016,64.83843341735236,-3.1615665826476373,43.39639933762259,2860.02004932,65.90454721990034,0.0260052986577419,0.9381113697360502,50323,101135.0,3.0,10.03,,7.25,True,False,983778.7388594163,33.15012069317648,42.66032292884285,67.04168775493086
mu_N5584,31.86553948636049,0.0453757045325274,N5584,NGC 5584,215.5992125,-0.3874499999999999,51344,10.331,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,31.5763,250.0,12.8137,0.32481,2007af,46.38789811558817,98.0,92.5016917700842,101.65324401855467,50.826622009277344,92.5016917700842,-5.498308229915793,23.6106474950364,1873.7028625,79.35838535956727,0.0586272072985942,0.9278918451694246,51344,112716.0,1.0,10.16,,0.345,False,False,973061.7266642369,31.8759203357426,23.723789786425435,78.97991338517583
mu_N5728,32.91590277778192,0.103192618959824,N5728,NGC 5728,220.59954937774,-17.25312243994,52521,10.636,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,161.695,250.0,13.4928,0.359283,2009Y,22.839020246793933,176.0,166.738644821125,92.7088623046875,46.35443115234375,166.738644821125,-9.261355178874991,38.29839336997691,2985.93288168,77.96496455699234,0.0365494802511945,0.9356494533158932,52521,108188.0,1.0,9.94,,7.61,False,False,981196.9760654308,33.136475959082226,42.39310158683702,70.43440488928809
mu_N5861,32.205206817919304,0.0756344575522645,N5861,NGC 5861,227.31704695833332,-11.321661111111112,54097,10.591,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,147.138,250.0,12.9518,0.3469,2017erp,48.52831499170101,112.0,106.20418271445524,90.59855651855467,45.299278259277344,106.20418271445524,-5.795817285544771,27.60840794932155,2029.59494066,73.51365368063084,0.0942537637305372,0.9083700474082352,54097,101918.0,2.0,9.87,,3.45,True,False,952589.6055479827,32.244227826349984,28.109010987366467,72.2044237547951
mu_N5917,32.33689541476568,0.0769424972155627,N5917,NGC 5917,230.3856254335,-7.377089110400001,54809,9.184,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,-21.2471,250.0,13.0691,0.321523,2005cf,130.12865238403774,54.0,52.64017958361095,45.406829833984375,22.703414916992188,52.64017958361095,-1.3598204163890486,29.334526531093267,2128.5264518,72.56045021022781,0.0244503923471971,0.9384050613138656,54809,102898.0,2.0,9.53,,0.324,True,False,984086.7273769397,32.28404507204443,28.629186942655974,74.34812787605254
mu_N7250,31.605972237460463,0.103313425286753,N7250,NGC 7250,334.5740666666667,40.56240555555555,68535,9.131,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,-413.1,250.0,12.246,0.513549,2013dy,24.99083467580744,52.0,50.4111892361293,52.13402557373047,26.06701278686523,50.4111892361293,-1.588810763870697,20.95050266720829,1295.10341856,61.81729570561067,0.0392499856663383,0.9348880472358682,68535,212316.0,1.0,8.82,,0.055,False,False,980398.5046500617,31.550814304569435,20.425037422488096,63.40763993578209
mu_N7329,33.26914458542828,0.0702010071802581,N7329,NGC 7329,340.10094603963,-66.47895444826,69453,10.501,0.01028,0.00086,0.01042,0.00015,0.01077,0.00015,40.4087,250.0,14.0258,0.246478,2006bh,53.54862058969878,124.0,116.39793698312904,116.71355438232422,58.35677719116211,116.39793698312904,-7.602063016870957,45.06391479539031,3081.866468239999,68.38878695366365,0.0082401665546204,0.9403936446861644,69453,209504.0,1.0,10.05,,3.48,False,False,986172.1152159842,33.3344398278661,46.439546022908075,66.36297578619202
mu_N7541,32.579683470837224,0.0843555788926216,N7541,NGC 7541,348.68273750000003,4.5339,70795,10.935,0.00814,0.00084,0.00769,2e-05,0.00893,2e-05,-134.006,250.0,13.4634,0.315879,1998dh,54.28672324231253,64.4,61.802987112436774,67.16163635253906,33.58081817626953,61.802987112436774,-2.5970128875632312,32.80474711102828,2440.31060812,74.38894742461277,0.3045178379222107,0.6861421530873038,70795,202905.0,2.0,9.55,,3.67,True,False,719543.6318317255,32.549435665810975,32.350957055776284,75.43240850379358
mu_N7678,33.26689439729975,0.0832042725418636,N7678,NGC 7678,352.11609521324993,22.421269142620005,71534,10.53,0.01061,0.00084,0.01049,1e-05,0.01169,1e-05,-34.4658,250.0,14.1276,0.307827,2002dp,45.51396021257647,107.0,102.49610850692297,70.32686614990234,35.16343307495117,102.49610850692297,-4.503891493077035,45.01724150369168,3180.7979793799996,70.65732757346217,0.0403911476414758,0.934550387388718,71534,209910.0,1.0,9.66,,2.82,False,False,980044.4074828072,33.298601333794124,45.679386952531694,69.63311444361908
mu_N976A,33.54384445493261,0.0823285152545172,N976A,NGC 976,38.50015860403,20.976747665440005,9776,10.854,0.01312,0.00085,0.01334,0.0,0.01413,0.0,64.7561,250.0,14.2187,0.260204,1999dq,7.695661697895833,218.0,212.70617385012537,44.37324523925781,22.186622619628903,212.70617385012537,-5.293826149874633,51.140961742487555,3933.27704896,76.91050216782021,0.2312684437022446,0.7748725377547937,9776,201272.0,3.0,10.28,,11.2,True,False,812593.4218062939,33.88421553586426,59.81954524791271,65.75237295200341
mu_U9391,32.81599028059958,0.0544388860427793,U9391,UGC 9391,218.65422,59.337826,52091,9.345,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,-244.618,250.0,13.5155,0.291161,2003du,15.61952370749146,75.0,72.84250306090047,49.78761291503906,24.89380645751953,72.84250306090047,-2.1574969390995307,36.576155587560656,2239.44966126,61.227037814264555,0.0138620846131997,0.9399266015277312,52091,,,,,,False,False,985682.3363430072,32.79085654308441,36.155244984410714,61.93982815565481
